instrument_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
30ebbr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,69,89,62,79,111,143,465,141,179,183,119,138,50,18,19,25,22,15,29,29,16,37,45,63,81,63
15ebbr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65,66,59,69,104,141,455,110,102,152,79,102,46,17,16,23,21,8,9,3,1,12,15,26,48,26
5ebbr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,66,47,58,104,95,305,73,111,126,90,96,40,16,13,21,17,4,10,7,3,12,17,31,46,31
mfrsr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,68,38,36,40,39,49,51,67,78,73,79,89,74,83,72,46,64,43,76,58,67,58
met,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,10,12,20,26,21,20,28,32,43,49,59,38,59,53,41,62,49,62,59,73,124,125,40,125
mwrlos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,32,14,40,41,49,40,60,49,49,49,27,22,29,26,20,20,11,11,11,12,24,30,11,30
sirs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,43,34,30,9,38,60,64,42,33,30,20,20,12,27,21,21,30,14,24,17,24
swats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,13,17,18,17,23,33,43,38,36,44,58,44,20,26,8,10,13,27,25,4,0,4
skyrad60s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,66,35,17,35,35,33,35,39,27,19,16,17,12,14,15,11,20,23,20,12,12,12
mwrtip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,10,18,18,26,18,32,34,45,40,22,20,27,24,19,20,11,11,11,12,22,30,10,30
